category,screen_name,created_at,text,favorite_count,retweet_count
Sports,NFL,2019-11-29 01:06:35,"b""Now It's primetime. @A_Kamara6 #Saints\n\n\xf0\x9f\x93\xba: #NOvsATL on NBC\n\xf0\x9f\x93\xb1: NFL app // Yahoo Sports app\nWatch free on mobile:\xe2\x80\xa6 https://t.co/42HC8AXn8x""",754,141
Sports,abscbnsports,2019-11-29 01:14:46,b'Pons\nRondina\nGervacio\nRodriguez\n\nGarcia\nBonono\nBuytrago \nRequinton\n\nPhilippine beach volleyball squad is looking so\xe2\x80\xa6 https://t.co/F2rCJ169mr',872,69
Sports,clarencehilljr,2019-11-29 01:16:27,b'Nothing left for Jerry Jones to do but fire Dallas Cowboys coach Jason Garrett https://t.co/BUDh0uijFI',297,98
Sports,richarddeitsch,2019-11-29 00:26:49,b'Should be a relatively quiet day tomorrow for Dallas sports-talk hosts: https://t.co/dnTpEQr06P',194,35
Sports,ByLukeJohnson,2019-11-29 00:29:54,b'Another chapter in one of my favorite rivalries in sports tonight: New Orleans Saints defensive back Justin Hardee\xe2\x80\xa6 https://t.co/MaAblL6c4G',69,17
Sports,APklug,2019-11-29 00:21:20,b'Great opportunity for a paid @ap sports internship in Tokyo during the Olympics for undergrads in their last two ye\xe2\x80\xa6 https://t.co/oKm94upvBe',8,16
Sports,WlooWarriors,2019-11-29 01:16:16,b'\xf0\x9f\x9a\xa8WHKY HIGHLIGHT \xf0\x9f\x9a\xa8| Maybe the highlight of the year... @taytumclairmont goes between the legs on the shorthanded bre\xe2\x80\xa6 https://t.co/TdPXtntWeY',102,23
Sports,FOX4,2019-11-29 00:45:58,"b'COWBOYS LOSE: The Buffalo Bills take down the Dallas Cowboys 26-15 at home on Thanksgiving. Meanwhile, Jerry Jones.\xe2\x80\xa6 https://t.co/Z9cDXupbR5'",147,34
Sports,orlandosentinel,2019-11-29 01:12:41,"b'Paul Finebaum: If not for McKenzie Milton injury, UCF might be in playoff | Commentary\n https://t.co/DkiQX7rhA7 https://t.co/aqqusap39i'",93,19
Sports,NFL,2019-12-01 19:19:43,b'PUNTER TO KICKER TOUCHDOWN!\n\nThe @MiamiDolphins pull off the trickery! #PHIvsMIA\n\n\xf0\x9f\x93\xba: FOX\n\xf0\x9f\x93\xb1: NFL app // Yahoo Sports\xe2\x80\xa6 https://t.co/0xpJSZFo5B',11918,2884
Sports,NFL,2019-12-01 20:46:47,b'BLOCK. THAT. KICK.\n\nAnd take it all the way for a @Titans TOUCHDOWN! @TyeSmithCB #TENvsIND\n\n\xf0\x9f\x93\xba: CBS\n\xf0\x9f\x93\xb1: NFL app // Ya\xe2\x80\xa6 https://t.co/3Ua0DehHmR',2438,634
Sports,rapplerdotcom,2019-12-01 11:42:32,"b""WATCH: Carlos Yulo's message to his supporters #SEAGames2019\nFull story: https://t.co/RHSi78XCz6 https://t.co/6nQ17elvcM""",42431,3522
Sports,NFL,2019-12-01 20:58:23,b'Derrius Guice goes over the 100-yard mark for the first time in his career! @DhaSickest #HTTR #WASvsCAR\n\n\xf0\x9f\x93\xba: FOX\n\xf0\x9f\x93\xb1:\xe2\x80\xa6 https://t.co/Wi1IK4xK5Y',2216,579
Sports,NFL,2019-12-01 18:10:14,b'The @49ers score first!\n\n@JimmyG_10 to Deebo Samuel for 33 yards on 4th and 2! #GoNiners\n\n\xf0\x9f\x93\xba: #SFvsBAL on FOX\n\xf0\x9f\x93\xb1: NFL\xe2\x80\xa6 https://t.co/b5NYWSaLyB',2437,599
Sports,NFL,2019-12-01 21:48:06,"b""ONE-HANDED. FULL EXTENSION.\n\n@SuttonCourtland hauls in @DrewLock23's first career TD pass! #LACvsDEN \n\n\xf0\x9f\x93\xba: CBS\n\xf0\x9f\x93\xb1: NF\xe2\x80\xa6 https://t.co/bv4KVgiNP2""",1326,368
